Hand,Average Equity
22,0.502026
32o,0.322296
32s,0.36165
33,0.53601
42o,0.33147
42s,0.368736
43o,0.349384
43s,0.3871
44,0.569946
52o,0.34294
52s,0.378546
53o,0.361532
53s,0.396488
54o,0.382474
54s,0.41519
55,0.603562
62o,0.339348
62s,0.377596
63o,0.36102
63s,0.395654
64o,0.380482
64s,0.414082
65o,0.399242
65s,0.432354
66,0.63325
72o,0.345764
72s,0.381796
73o,0.365618
73s,0.400074
74o,0.383916
74s,0.41927
75o,0.403904
75s,0.438008
76o,0.422782
76s,0.455252
77,0.662012
82o,0.368026
82s,0.40228
83o,0.373804
83s,0.408158
84o,0.393902
84s,0.42754
85o,0.4134
85s,0.444654
86o,0.432274
86s,0.463274
87o,0.450518
87s,0.478214
88,0.689202
92o,0.391812
92s,0.422516
93o,0.401844
93s,0.43305
94o,0.406376
94s,0.438554
95o,0.429064
95s,0.457564
96o,0.444218
96s,0.475548
97o,0.464126
97s,0.491894
98o,0.479726
98s,0.509212
99,0.719744
A2o,0.548156
A2s,0.573202
A3o,0.559488
A3s,0.583592
A4o,0.567584
A4s,0.590818
A5o,0.578124
A5s,0.599104
A6o,0.576614
A6s,0.59953
A7o,0.589634
A7s,0.609722
A8o,0.597916
A8s,0.621022
A9o,0.609212
A9s,0.62816
AA,0.851008
AJo,0.633556
AJs,0.653458
AKo,0.655974
AKs,0.670938
AQo,0.643696
AQs,0.661518
ATo,0.627402
ATs,0.645628
J2o,0.441844
J2s,0.47284
J3o,0.452998
J3s,0.482438
J4o,0.463104
J4s,0.49008
J5o,0.471876
J5s,0.500268
J6o,0.47872
J6s,0.506444
J7o,0.49703
J7s,0.523254
J8o,0.516098
J8s,0.539194
J9o,0.534442
J9s,0.55728
JJ,0.774348
JTo,0.550966
JTs,0.576026
K2o,0.506442
K2s,0.531164
K3o,0.51579
K3s,0.539756
K4o,0.525366
K4s,0.546076
K5o,0.531744
K5s,0.558024
K6o,0.543572
K6s,0.565758
K7o,0.551826
K7s,0.576118
K8o,0.561304
K8s,0.584938
K9o,0.578528
K9s,0.600414
KJo,0.606102
KJs,0.62521
KK,0.822826
KQo,0.615812
KQs,0.634062
KTo,0.597126
KTs,0.618602
Q2o,0.471534
Q2s,0.502474
Q3o,0.482092
Q3s,0.509764
Q4o,0.491988
Q4s,0.517102
Q5o,0.501282
Q5s,0.525674
Q6o,0.510836
Q6s,0.537562
Q7o,0.518704
Q7s,0.543554
Q8o,0.535456
Q8s,0.560344
Q9o,0.554854
Q9s,0.576442
QJo,0.582106
QJs,0.6028
QQ,0.799984
QTo,0.574062
QTs,0.593472
T2o,0.418714
T2s,0.45071
T3o,0.425578
T3s,0.457368
T4o,0.433848
T4s,0.466166
T5o,0.442568
T5s,0.471572
T6o,0.460572
T6s,0.48949
T7o,0.47786
T7s,0.505516
T8o,0.49771
T8s,0.521946
T9o,0.51554
T9s,0.539624
TT,0.750272
